Time,Longitude,Latitude,Altitude,CO2,p,Light,T,h
2023-12-04 07:22:56,9.967907,51.405982,0.0,766,95831,9.78,11.70,34.64
2023-12-04 07:23:06,9.967897,51.405830,0.0,697,95958,9.38,11.41,33.75
2023-12-04 07:23:07,9.967914,51.405857,0.0,692,95963,9.48,11.37,33.64
2023-12-04 07:23:08,9.967905,51.405876,0.0,687,95952,9.29,11.39,33.54
2023-12-04 07:23:09,9.967908,51.405891,0.0,677,95952,9.29,11.33,33.43
2023-12-04 07:23:10,9.967911,51.405906,0.0,672,95952,9.87,11.34,33.37
2023-12-04 07:23:11,9.967915,51.405914,0.0,667,95941,9.38,11.31,33.30
2023-12-04 07:23:12,9.967915,51.405921,0.0,662,95960,9.78,11.28,33.21
2023-12-04 07:23:13,9.967916,51.405925,0.0,652,95976,10.17,11.26,33.14
2023-12-04 07:23:14,9.967916,51.405929,0.0,647,95987,9.58,11.20,33.04
2023-12-04 07:23:15,9.967916,51.405937,0.0,642,95993,9.38,11.18,32.96
2023-12-04 07:23:16,9.967916,51.405952,0.0,637,96009,9.78,11.14,32.90
2023-12-04 07:23:17,9.967917,51.405960,0.0,627,96015,9.48,11.15,32.81
2023-12-04 07:23:18,9.967916,51.405971,0.0,622,96034,9.58,11.09,32.72
2023-12-04 07:23:19,9.967916,51.405982,0.0,617,96032,9.58,11.09,32.68
2023-12-04 07:23:20,9.967916,51.405994,0.0,607,96029,9.97,11.03,32.60
2023-12-04 07:23:21,9.967917,51.406002,0.0,602,96026,9.78,11.02,32.55
2023-12-04 07:23:22,9.967918,51.406013,0.0,597,96032,8.99,11.02,32.49
2023-12-04 07:23:23,9.967919,51.406021,0.0,597,96043,9.48,10.99,32.43
2023-12-04 07:23:24,9.967920,51.406024,0.0,592,96040,9.87,10.97,32.37
2023-12-04 07:23:25,9.967921,51.406028,0.0,582,96048,9.97,10.96,32.31
2023-12-04 07:23:26,9.967922,51.406028,0.0,577,96065,9.78,10.90,32.25
2023-12-04 07:23:27,9.967922,51.406024,0.0,572,96081,9.68,10.89,32.22
2023-12-04 07:23:28,9.967923,51.406032,0.0,562,96086,10.17,10.89,32.12
2023-12-04 07:23:29,9.967925,51.406009,252.4,557,96097,9.68,10.81,32.07
2023-12-04 07:23:30,9.967926,51.406002,251.3,552,96108,9.78,10.80,32.02
2023-12-04 07:23:31,9.967927,51.405990,250.4,547,96131,9.97,10.77,31.95
2023-12-04 07:23:32,9.967928,51.405986,249.8,542,96147,9.78,10.70,31.90
2023-12-04 07:23:34,9.967930,51.405979,249.8,537,96170,9.87,10.64,31.82
2023-12-04 07:23:36,9.967932,51.405994,249.8,532,96186,9.97,10.59,31.72
2023-12-04 07:23:38,9.967934,51.406005,249.8,517,96221,9.87,10.51,31.61
2023-12-04 07:23:37,9.967936,51.406009,249.8,428,96233,9.68,10.40,31.51
2023-12-04 07:23:39,9.967938,51.406013,249.8,348,96276,9.87,10.36,31.44
2023-12-04 07:23:41,9.967940,51.406013,249.8,278,96282,9.58,10.30,31.39
2023-12-04 07:23:43,9.967940,51.406017,249.8,199,96337,9.78,10.20,31.30
2023-12-04 07:23:45,9.967941,51.406017,249.8,134,96382,9.48,10.12,31.23
2023-12-04 07:23:47,9.967940,51.406021,249.8,74,96425,9.68,10.04,31.19
2023-12-04 07:23:49,9.967940,51.406021,249.8,29,96414,9.38,10.03,31.13
2023-12-04 07:23:51,9.967939,51.406024,249.8,29,96408,10.07,10.00,31.11
2023-12-04 07:23:53,9.967938,51.406024,249.8,29,96400,9.97,9.99,31.08
2023-12-04 07:23:55,9.967937,51.406028,249.8,29,96394,10.17,9.99,31.06
2023-12-04 07:23:57,9.967936,51.406028,249.8,29,96406,9.78,9.94,31.02
2023-12-04 07:23:59,9.967936,51.406028,249.8,29,96450,9.97,9.80,31.00
2023-12-04 07:24:01,9.967936,51.406028,249.8,29,96565,10.26,9.48,30.89
2023-12-04 07:24:03,9.967948,51.406040,249.8,29,96582,9.97,9.24,30.83
2023-12-04 07:24:05,9.967923,51.406021,249.8,29,96706,10.17,9.00,30.78
2023-12-04 07:24:07,9.967924,51.406024,249.8,29,96752,9.97,8.87,30.76
2023-12-04 07:24:09,9.967971,51.406032,249.8,24,96805,10.07,8.72,30.72
2023-12-04 07:24:11,9.967993,51.406051,249.8,24,96846,9.78,8.63,30.74
